isos,enu_tfec_total_pc,enu_trp_total_pc,enu_hhcops_elec_pc,enu_hhcops_total_pc,ns_prosupp_pc,ns_hale,ns_unempl,ns_edu_bas,ns_h20_acc,ns_san_acc,ns_undernourished,ns_pov_gap_320,ns_pov_hcratio_nationalline,ns_doctors,ps_roadkm_pc,ps_gini,ps_gdp_ppp_pc,ps_ge,ps_va,ps_growth,ps_xpd_hlth_gov2tot,ps_xpd_gov_edu2tot,ps_soc_sec_cov,ps_unions,ps_corp_power,ps_fdi,ps_veh_pc,ps_pop_urb,ps_age_1564,ps_res_rent,ps_elec_acc,ps_nsolfuel_acc,ps_rail_pkmpc,ps_infra_qual,ps_tax_rev,ps_aid,ps_remitt,ps_soc_contr,ps_expo,ps_impo,ps_hdd,ps_cdd,ps_tmin,ps_tmean,aux_pop,aux_gdp_ext,aux_tfec_ext
CIV,13.73733,1.557815,0.5794062,11.02947,58.67,51.0131,4.1,38.92222,81.2,21.6,21.5,23.3,46.3,0.1541,NaN,37.3,2696.192,-1.110583,-0.8142912,0.4884958,30.68496,NaN,NaN,NaN,31.27057,1.221404,0.03980545,52.041,53.75772,10.20507,55.8,19.1235,NaN,2.31,14.25743,0.1029543,1.357617,NaN,48.92886,44.74562,20,20278,21.1,26.35,2.110264e+07,5.91655e+10,2.89894e+08
CMR,11.88666,1.863941,0.3705536,9.277505,69,51.09194,4.1,48.57889,74.1,45.2,8.9,18.7,37.5,0.0898,0.002370785,39.7,2964.553,-0.9040274,-1.030722,1.756835,24.58444,15.17625,NaN,6.15,NaN,1.992267,0.01431243,52.677,53.62903,11.08667,53.7,21.93011,2.285373e-05,2.24,NaN,0.02365616,0.794875,NaN,26.1182,30.26891,113,13548,19.1,24.6,2.165949e+07,5.881318e+10,2.57459e+08
COD,11.76118,0.4403825,0.1265308,8.763791,NaN,50.41772,8.2,37.17778,51.4,27.6,NaN,57.6,63.9,0.09,NaN,38.4,706.3672,-1.65863,-1.50882,3.645122,44.80888,NaN,NaN,NaN,NaN,-1.531266,0.02451233,40.95,50.66578,39.02607,16.4,5.004734,3.129839e-07,1.96,8.774573,0.1233044,0.04442118,NaN,30.80301,37.5487,20,13160,NaN,24,7.029116e+07,4.585715e+10,8.26707e+08
COG,18.05124,5.281616,0.3417956,11.91525,49.74,52.22824,6.6,51.13334,75.3,14.6,39.2,29.1,40.9,0.1159,NaN,43.8,5415.114,-1.201714,-1.152004,0.9147286,79.2039,NaN,NaN,NaN,NaN,15.7326,NaN,64.1,53.93742,67.40829,41.6,24.82746,4.829466e-05,1.27,7.595977,0.01100653,NaN,2.754064,83.77515,60.32927,1,17298,19.8,24.55,4286188,2.487313e+10,7.7371e+07
COK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
COL,22.19363,8.360805,2.532923,5.98688,64.15,69.66357,10.6,60.22224,91.2,80.2,9.9,5.7,32.7,1.74,0.004369679,49.6,11996.22,0.01088164,-0.09990023,4.221916,76.11646,15.51283,48.8641,9.9,70.90339,4.068455,0.0968409,75.603,68.23528,11.15258,97,85.88207,NaN,2.72,13.27213,0.002440662,1.087128,20.07504,18.82874,20.04266,1,9036,19.6,24.5,4.688102e+07,5.653129e+11,1.04046e+09
COM,NaN,NaN,NaN,NaN,NaN,58.42329,6.5,45.04198,90.1,34.2,NaN,15,42.4,0.1699,NaN,46.9,2483.41,-1.545724,-0.5199243,0.3202081,37.23816,18.49151,NaN,NaN,NaN,1.884873,NaN,28.029,56.33842,3.518213,69.3,25.52372,NaN,1.94,NaN,0.1263188,20.02079,NaN,8.945869,31.86455,NaN,NaN,21.6,25.55,733661,1.012244e+09,NaN
CPV,NaN,NaN,NaN,NaN,72.03,64.91185,9.1,48.34667,90.3,68.1,14.7,NaN,35,0.5058,0.00269531,43.2,6090.554,0.1033421,0.9279619,1.435864,72.45819,NaN,NaN,NaN,NaN,7.360737,NaN,63.389,63.95831,0.6322622,70.56256,68.65354,NaN,NaN,18.42064,0.1456247,10.1578,NaN,40.4318,59.84534,NaN,NaN,NaN,23.3,500870,3.133844e+09,NaN
CRI,31.11526,14.2677,5.213629,7.779082,74.35,70.22533,7.8,65.39216,97.5,94.3,5.4,1.5,20.6,1.1497,0.008383489,45.7,13777.76,0.4875459,1.063006,3.608632,73.22655,23.50156,67.33135,13.7,3.633653,5.951999,0.2033257,73.94,68.35,1.023112,99.5,94.17988,NaN,2.6,13.66392,0.0007767174,1.241356,35.57787,32.16957,35.97497,1,22626,19.6,24.8,4654148,6.441094e+10,1.44815e+08
CSHH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CSXX,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CUB,21.78436,1.622022,3.190706,4.948411,86.55,69.30153,3.2,74.28778,94.1,92.7,2.5,NaN,NaN,7.2099,NaN,NaN,NaN,-0.4193431,-1.431334,2.752006,94.15131,NaN,NaN,NaN,NaN,NaN,0.03941537,76.781,69.90121,3.469385,100,93.07672,NaN,2.08,NaN,0.001299674,NaN,NaN,25.511,20.3552,1,23521,20.4,25.2,1.134263e+07,2.24822e+11,2.47092e+08
CUW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27638.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.6852,99.95072,NaN,NaN,NaN,NaN,NaN,NaN,2.8195e+07
CX,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CYM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4,95.6,NaN,NaN,NaN,NaN,NaN,NaN,62468.56,1.231319,0.5397995,0.9192944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,90.87544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57522,NaN,NaN
CYP,56.13374,25.3413,11.71076,20.93592,81.11,69.93845,11.8,77.61983,100,100,4.8,0,NaN,2.2958,0.01771535,30.6,31749.56,1.377763,1.004479,-3.028232,45.8618,NaN,NaN,48.5,8.002012,30.64798,0.5244828,67.261,70.74062,0.1097048,100,100,NaN,3.17,23.31861,NaN,2.225838,22.00627,55.31226,57.22534,NaN,NaN,13.1,18.45,1129303,2.757751e+10,6.3392e+07
CZE,100.6828,23.05441,9.764542,36.39947,86.86,66.71781,7,86.62222,100,99.1,2.5,0.1,8.6,3.6483,0.01243114,25.4,28527.14,0.9175432,0.9438059,0.3488421,84.0198,9.74072,NaN,14.8,NaN,4.569428,0.5142337,73.115,69.06468,0.7535504,100,99.99,0.0006571346,2.96,13.46926,NaN,0.6825806,43.09545,76.17007,71.36739,13836,1394,3.3,7.55,1.051079e+07,3.019529e+11,1.058255e+09
DEU,114.5841,27.73804,12.87181,46.71444,101.81,69.70559,5.4,88.43719,100,99.2,2.5,0,NaN,3.9152,0.008019812,28.8,42639.89,1.574946,1.394152,2.872956,76.06601,11.2171,NaN,18.3,41.99086,1.849474,0.578645,74.688,65.90567,0.1924608,100,100,0.0009973164,4.26,11.57286,NaN,0.4491566,54.36677,46.30712,40.20694,11711,969,4.6,8.5,8.042582e+07,3.506575e+12,9.215519e+09
DJI,NaN,NaN,NaN,NaN,64.28,57.05684,NaN,30.58778,89.9,47.3,20.2,16.2,NaN,0.22465,NaN,39,NaN,-1.096271,-1.416969,3.279877,58.77743,NaN,21.8504,NaN,NaN,8.126151,NaN,77.117,62.57853,1.776645,53.26256,84.27214,NaN,1.51,NaN,0.1170188,2.457507,NaN,NaN,NaN,NaN,NaN,22.8,28,853069,2.501397e+09,NaN
DMA,NaN,NaN,NaN,NaN,81.14,64.47754,NaN,60.7498,NaN,NaN,5.9,NaN,NaN,NaN,0.02109228,43.5,10134.37,0.6603047,0.9745826,-0.9898007,68.52083,NaN,NaN,NaN,NaN,4.771868,NaN,68.681,NaN,0.09628668,92.66676,93.80656,NaN,NaN,23.10687,0.05413318,4.791758,NaN,34.06612,49.62875,NaN,NaN,18.9,22.35,71685,7.316368e+08,NaN
